,degree,betweenness,closeness,eigenvector,composite
ALZR11,0.06,0.0,0.2877080769162946,0.056300724355918194,0.022959049561242995
BRCO11,0.06,0.0,0.3334059977368342,0.08192191068582107,0.08108044205591788
BRCR11,0.06,0.0,0.3069625774624484,0.07636655842874948,0.04744809333911535
BTLG11,0.2,0.062040816326530614,0.3914649666808375,0.15790012534878603,0.3129168410028072
CPTS11,0.06,0.0,0.3023819314802513,0.06614146349076132,0.041622149439917794
GGRC11,0.06,0.0,0.26965653369043924,0.039668410716972476,0.0
HCTR11,0.06,0.0,0.2791684202606281,0.05059802209199136,0.01209779532162631
HFOF11,0.08,0.0008163265306122449,0.33527754451161124,0.08689739237332367,0.10067122938103662
HGBS11,0.14,0.0016326530612244899,0.3647899776113652,0.13330584381633562,0.18875070875910113
HGCR11,0.06,0.0,0.3116052241476941,0.06965203823371736,0.05335289349986976
HGFF11,0.12,0.0016326530612244899,0.34962548371260826,0.11666364472885202,0.1527969173361474
HGLG11,0.1,0.05061224489795919,0.3681950740309207,0.10652542774086322,0.19237461138426568
HGPO11,0.06,0.0,0.3153541285917594,0.07274063998220291,0.05812097797080732
HGRE11,0.28,0.08979591836734695,0.46951548936919774,0.2929146400285489,0.4973412137577518
HGRU11,0.1,0.0008163265306122449,0.29223267465348185,0.06944020493802038,0.06259081493572993
HSML11,0.26,0.10857142857142857,0.40926482799565245,0.22397895761417916,0.4165508920653022
IRDM11,0.16,0.03918367346938775,0.39505493290140115,0.1744530467533384,0.26892377884088364
JSRE11,0.06,0.0,0.28334318107775247,0.052070118130814136,0.017407509804619057
KFOF11,0.06,0.0,0.2832989163092867,0.05631239656571371,0.01735121118237348
KNCR11,0.12,0.012244897959183675,0.3891326064947796,0.17732624582991013,0.21011353596428886
KNIP11,0.06,0.0,0.3380028033417632,0.1044263207779289,0.08692693874523144
KNRI11,0.06,0.0,0.34216174695394336,0.08766116031432925,0.09221653594585721
KNSC11,0.06,0.0,0.30854033960922156,0.07879319970641023,0.049454787108750176
LVBI11,0.08,0.0008163265306122449,0.28480028149570513,0.05944449742607701,0.0364711790696498
MCCI11,0.08,0.0,0.31524565202315497,0.0822372955184524,0.07464967750437022
MFII11,0.08,0.0,0.2914356334852403,0.06922350662215325,0.04436664913241813
MXRF11,0.12,0.007346938775510205,0.30138649709397564,0.09197111053407095,0.0952500594768824
NEWL11,0.06,0.0,0.2721506642331717,0.04576457212686996,0.003172186777958481
OUJP11,0.06,0.0,0.370317080650049,0.11233574593961615,0.12802620017535937
PORD11,0.12,0.0,0.32150351028582796,0.11754229536683589,0.11594213514624811
RBRF11,0.12,0.0032653061224489797,0.31975500035249804,0.10592276152577342,0.11589336912239363
RBRP11,0.06,0.0,0.323150235329728,0.07998876831636906,0.06803654024392043
RBRR11,0.08,0.0,0.3587858017538089,0.11123675675410077,0.13002668561181194
RBRY11,0.08,0.0008163265306122449,0.31273158623324887,0.09424262202900624,0.07199590965672471
RBVA11,0.08,0.0,0.33707498190953206,0.09634458256081035,0.10241354569444334
RCRB11,0.06,0.0,0.3386085243564324,0.10088589899171656,0.08769733153780766
RECR11,0.1,0.0016326530612244899,0.3162420538378194,0.10012853760371324,0.09367117608079867
RECT11,0.08,0.0008163265306122449,0.31106670558144867,0.07677486567215148,0.06987841327871494
TGAR11,0.06,0.0,0.3755773563533728,0.11416754073622642,0.13471653845100515
TRXF11,0.16,0.015510204081632653,0.4048085280722386,0.18987017743026874,0.26555955396654835
VCJR11,0.06,0.0,0.3144215592751935,0.07949253727086711,0.05693487964722114
VGIP11,0.2,0.004081632653061225,0.4045876724733481,0.2065568071111283,0.29099915659954445
VGIR11,0.18,0.005714285714285714,0.32839954244987374,0.1454781880597061,0.17851934428210034
VILG11,0.14,0.036734693877551024,0.37601928308810817,0.1594049392871778,0.2264150947312916
VINO11,0.06,0.0,0.3509546550637844,0.0910730129737538,0.10339989077350138
VISC11,0.44,0.5004081632653061,0.5317397282179523,0.4086543397244303,0.983333330603683
VRTA11,0.46,0.4489795918367347,0.484431269408098,0.3623568900230371,0.9055724759481834
VTLT11,0.06,0.0,0.2858441711660514,0.05294650003220289,0.020588420969443372
XPCI11,0.08,0.0008163265306122449,0.3180196863206741,0.0783854347724374,0.07872163667479559
XPLG11,0.26,0.12408163265306123,0.41281508916515297,0.2208990385403262,0.43139803194057585
XPML11,0.12,0.0008163265306122449,0.3745067291663236,0.1475285706988412,0.18389862340278637
