carteira,filtro,sharpe_bruto,sharpe_liq,giro_medio
central_10,GPMF,-1.381,-1.7023,0.284
central_15,GPMF,-1.2127,-1.5372,0.252
central_20,GPMF,-1.3278,-1.6534,0.258
peripheral_10,GPMF,-0.7922,-1.2372,0.46
peripheral_15,GPMF,-0.6398,-1.1019,0.428
peripheral_20,GPMF,-0.6752,-1.1395,0.356
hybrid_10,GPMF,-0.77,-1.2189,0.472
hybrid_15,GPMF,-0.9291,-1.3419,0.4013
hybrid_20,GPMF,-1.1922,-1.591,0.368
central_10,AGM,-0.9931,-1.342,0.276
central_15,AGM,-1.3354,-1.6661,0.268
central_20,AGM,-1.2438,-1.5913,0.252
peripheral_10,AGM,-0.9394,-1.3969,0.444
peripheral_15,AGM,-0.9711,-1.3778,0.348
peripheral_20,AGM,-0.9131,-1.3089,0.296
hybrid_10,AGM,-1.2031,-1.6205,0.436
hybrid_15,AGM,-1.1384,-1.5522,0.396
hybrid_20,AGM,-1.0661,-1.479,0.348
